,LIC_1,LIC_3,LIC_31,LIC_35,LIC_37,LIF_22,LIF_24,LIF_26,LIF_28,LIF_30
Hspa12a,0.03473,0.029773,0.020411,0,0.234173,0.08552,0.072654,0.052394,0.078953,0.020728
Hspa12b,0.928871,0.360459,0.447039,0.340251,1.396542,1.196148,0.76902,0.83441,1.181509,1.892182
Hspa13,0.079093,0.097403,9.352479,1.203597,0.589309,9.155289,3.3855,2.231418,2.898703,0.70362
Hspa14,4.503195,5.549492,9.09643,15.013974,9.143826,10.886199,8.80174,7.362541,10.230917,8.89115
Hspa1a,11.913842,0.395588,0.814384,6.302597,4.809345,12.734561,4.88237,27.252247,14.916805,3.691392
Hspa1b,21.688015,0.32044,1.497342,10.396208,8.493808,22.930723,7.537309,44.14695,26.13266,6.191828
Hspa1l,0.448979,0,0,0,0,0.078284,0,0.050473,0.083573,0.15625
Hspa2,0.328574,0.141173,0.054955,0.110739,0.125366,0.350944,0.243381,0.130298,0.658391,0.16156
Hspa4,10.137774,10.887748,26.30587,22.320356,19.960392,35.825905,24.566584,17.597036,24.221016,15.143751
Hspa4l,0.267105,0.121701,0.576753,0.709288,0.116364,1.051107,0.442427,0.234836,0.796845,0.39208
Hspa5,114.688141,151.540222,324.892334,442.898743,265.12735,634.410034,481.104706,532.708801,322.813995,218.701096
Hspa8,400.52536,529.382935,367.439636,994.221497,838.248291,1082.281494,877.316895,1099.887329,1092.543335,750.73584
Hspa8-ps23,9.278428,14.903993,3.679821,15.961769,14.473109,12.528506,9.281166,16.054266,12.908907,11.392045
Hspa8-ps25,22.399529,27.017782,17.026443,45.19976,37.30468,57.824928,41.608265,50.411922,51.729546,33.819836
Hspa9,63.930351,62.219219,193.849762,141.224518,106.434517,233.944733,187.192307,157.045532,174.354111,130.263092
Hspb1,45.981525,21.61302,19.216482,66.630997,83.261391,42.444801,136.482697,200.732376,66.281639,108.795784
Hspb2,1.764538,0.595748,1.020126,2.078682,3.40763,1.521852,2.002122,3.357589,1.073808,3.017779
Hspb3,0.463053,0,0,0,0.342593,0,0,0,0,0
Hspb6,16.190845,7.608377,5.411239,5.025484,11.557572,6.935848,7.813996,8.124811,7.044379,10.319834
Hspb7,1.453356,0,0,0.065235,0,0,0.086672,0,0.295754,0
Hspb8,55.851353,42.2262,46.960442,96.238449,83.622787,94.544678,93.740303,135.921097,101.576782,85.746155
Hspb9,0,0,0,0,0,0,0,0.171431,0,0
