"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Mzb1",-0.163754928728895,0.076766820841963,-0.412057284735506,0.684642660943123,0.756137341723074,-5.80502127974848
"Arvcf",0.183772211815106,4.12328250480762,0.865164441118157,0.397119744715569,0.492280946700043,-5.8050561823644
"Kcne4",-0.110677517243064,-0.190489190272035,-0.479899745741569,0.636460459994131,0.714776284291049,-5.80506141538581
"Sema4f",-0.129277274948503,-0.326417339653394,-0.547809975957444,0.589832469281924,0.674972538231432,-5.80514977812738
"Bmp2k",0.124509692346574,2.0624762080207,0.68157938617126,0.503254646585136,0.595334328880031,-5.80522141759262
"Ccser1",-0.171514223015543,-0.847373157343285,-0.774392768669048,0.447679409593443,0.542816667002858,-5.80523414947568
"Gp9",-0.147144697935645,-0.32378989396279,-0.530565308813951,0.601512009780315,0.684929564082546,-5.80524006484805
"Mfsd2a",0.272932230575503,6.61545537924272,0.804401434370583,0.430542614107801,0.526029843787511,-5.80543039044055
"Dpf3",-0.148568068282815,0.816153728156898,-0.482979249229077,0.634310074037187,0.712831733854437,-5.80548420158335
"Kics2",-0.111677435844136,1.08580893853359,-0.526809711419201,0.604070439157122,0.687237022851365,-5.80551115104519
"RGD1565685",-0.164769992701336,2.76182669210452,-0.772055615933287,0.44903137527421,0.544223276453206,-5.80563459290225
"Racgap1",0.149011932532268,-0.378137600730531,0.587431804576337,0.563431159438124,0.651750937404565,-5.80568145069006
"Rabgef1",0.126376900233839,1.75829125040751,0.63508881965919,0.532507868801598,0.623224649477084,-5.80593155137501
"LOC120098709",-0.200321055303501,-0.83322209963199,-0.756711334790107,0.457969235750638,0.552968565989187,-5.80594570445947
"LOC120102561",-0.200321055303501,-0.83322209963199,-0.756711334790107,0.457969235750638,0.552968565989187,-5.80594570445947
"Trnap-agg_72",-0.200321055303501,-0.83322209963199,-0.756711334790107,0.457969235750638,0.552968565989187,-5.80594570445947
"Gyg1",-0.129963989617554,2.27623451782844,-0.711397522107254,0.484982758759311,0.578569230397737,-5.8059827864743
"Arid5b",0.11028462139254,0.989215434959895,0.510893436557779,0.614971016267577,0.696688754665159,-5.80602042526028
"Sumo2",-0.147664602918931,5.64756733483815,-0.847191241468583,0.406826653886058,0.502228529810951,-5.80621035873774
"Treml2",0.130689065845562,-0.227206629208388,0.548679268029502,0.589246697903243,0.674528230706643,-5.80624626839543
"Cpm",-0.11627102047016,-0.224302597439993,-0.483451795474338,0.633980392866857,0.712673031141188,-5.80639241374601
"Klf4",0.130103850108615,0.636277377040662,0.459248266051809,0.65096567946983,0.727202978240537,-5.80650571147097
"Ddx39b",0.241280624756315,5.79660102561828,0.839640146569974,0.410949897776046,0.506500374609539,-5.80664461547796
"Prim2",0.13343859953265,1.29350537827999,0.559425389902893,0.582029387367854,0.668267599004033,-5.80678523407945
"Rpp38",-0.175903482311606,1.24358067282557,-0.550186675257604,0.588231618337597,0.673752268240619,-5.80688599382503
"LOC102546663",-0.174460915020435,0.857513170002114,-0.486354643360669,0.631956880389065,0.710867942463031,-5.8069464612839
"Ahcy",0.151123388850075,8.86767331144197,0.691870770600092,0.496904409646208,0.589502393959113,-5.80700086163882
"Tmem183a",0.141744624673419,5.66803412690845,0.844602794517264,0.408237065416919,0.503695630959956,-5.80702728817339
"Plaur",-0.177513115754201,0.926526531356124,-0.49725650541317,0.624383979708747,0.70453830533146,-5.8070536633853
"Eif3d",-0.147304294828047,5.32998618739947,-0.856737657371661,0.401652018503633,0.496831605646312,-5.80722136381802
"Pde5a",-0.108726435833478,0.325164327186295,-0.417746760718316,0.680544721302728,0.752710638094864,-5.80724056377734
"Mbd2",0.138966393786069,4.81752953311816,0.866526953190318,0.396390056720162,0.491609182654836,-5.80725210297907
"Ces2c",-0.252592918566518,3.74953104033606,-0.851878873099714,0.404280394809591,0.499520020219627,-5.80726723570149
"Ccp110",-0.121311356475896,0.284434384742373,-0.414626841473075,0.682790648608387,0.754483666712268,-5.80729186751561
"Snx14",-0.176495389526241,2.90335187150438,-0.784937142853131,0.441610853328356,0.536605603436232,-5.80754067599762
"Pik3c2b",-0.112429430838918,-0.224837256597952,-0.487901631062665,0.630879717563044,0.709937849078847,-5.80758886236895
"Zfp53",0.14207797493718,-0.0958447918515411,0.493559442149674,0.62694739540646,0.706751272076561,-5.80761351106891
"LOC102547955",0.106262437611265,0.323307413424839,0.426068209814851,0.674569319279912,0.747510572473302,-5.80762334930502
"Znf8",0.116324526517909,1.0254546525894,0.513531297895034,0.613157994186758,0.695213351572513,-5.80764741194491
"Efna5",0.205495030552425,2.53338300158365,0.740130716963275,0.467746990755081,0.562122213395425,-5.80775633350503
"Tbxas1",0.124970970206368,1.47999593016414,0.587873332176309,0.563140436708897,0.651547512338543,-5.80781691006268
"LOC120096250",-0.143436016365122,-0.791840621865092,-0.7205278919806,0.479466045313222,0.573593004541115,-5.807920522932
"LOC691135",0.126606549085675,-0.374075822271453,0.583118469667599,0.566275351942542,0.65412942768939,-5.80809397733467
"Kansl1l",0.178867184089261,1.489331017012,0.588346262297279,0.562829123429868,0.651320176362194,-5.80840303504044
"Morn3",-0.119318901796472,-0.37591044235572,-0.560289784242255,0.581450777984428,0.667783484440913,-5.80857958590332
"Pde4b",0.168258227660226,0.171535913573429,0.427281278182245,0.673700077429627,0.746739060462844,-5.808614446463
"Cnbd2",-0.154160428770817,2.25657755310674,-0.705048775794355,0.48884048071753,0.582229113586716,-5.80863251665896
"Myh14",0.106435864068803,0.451756521223389,0.433377557267796,0.669338814531298,0.74299664754593,-5.8086462236802
"Fiz1",0.137017491117025,2.13034021233545,0.685798940074153,0.5006454302821,0.592977234954298,-5.80870914518066
"Hcn3",-0.129167880156198,0.248944795977649,-0.408303032293676,0.687352213194616,0.758268620915547,-5.80876481508963
"Ptpru",-0.145173796975748,-0.287016264564453,-0.517437578610861,0.610477851107839,0.692959449841717,-5.80881691265605
"Mnd1",-0.195122101390789,1.34340760941608,-0.562976340561526,0.579654297169586,0.666259856463009,-5.80900398098569
